#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 03 23 00 999 99.0 99.0  2.61  8.33  6.69  24 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 23 30 999 99.0 99.0  2.71  8.33  6.68  33 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 00 00 999 99.0 99.0  2.82  9.88  7.11  50 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 00 30 999 99.0 99.0  2.59  7.69  6.74  34 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 01 00 999 99.0 99.0  2.60  9.09  6.78  48 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 01 30 999 99.0 99.0  2.64  7.69  6.62  41 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 02 00 999 99.0 99.0  2.63  9.88  7.03  39 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 02 30 999 99.0 99.0  2.83  8.33  7.00  40 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 03 00 999 99.0 99.0  2.80  8.33  6.99  53 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 03 30 999 99.0 99.0  2.72  8.33  6.99  44 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 04 00 999 99.0 99.0  2.91  9.88  7.12  60 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 04 30 999 99.0 99.0  2.59 10.53  7.03  40 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 05 00 999 99.0 99.0  2.84  9.88  7.29  60 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 05 30 999 99.0 99.0  2.58 10.53  6.94  33 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 06 00 999 99.0 99.0  2.73 11.11  6.98 354 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 06 30 999 99.0 99.0  2.67  9.09  6.88  51 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 07 00 999 99.0 99.0  2.63 11.11  6.66 347 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 07 30 999 99.0 99.0  2.81  8.33  6.85  40 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 08 00 999 99.0 99.0  2.64 10.53  6.71  16 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 08 30 999 99.0 99.0  2.77 10.53  6.84  23 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 09 00 999 99.0 99.0  2.82  8.33  6.72  36 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 09 30 999 99.0 99.0  2.78  9.09  6.91  51 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 10 00 999 99.0 99.0  2.98  9.88  6.86  33 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 10 30 999 99.0 99.0  2.92  9.88  6.73  40 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 11 00 999 99.0 99.0  2.83  9.88  6.88  29 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 11 30 999 99.0 99.0  3.17  9.09  7.02  54 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 12 00 999 99.0 99.0  2.85  9.09  6.65  46 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 12 30 999 99.0 99.0  3.14  9.09  6.83  47 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 13 00 999 99.0 99.0  3.01  8.33  6.81  37 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 13 30 999 99.0 99.0  3.08  7.69  6.74  39 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 14 00 999 99.0 99.0  3.05  9.09  6.91  41 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 14 30 999 99.0 99.0  3.04  9.09  6.89  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 15 00 999 99.0 99.0  3.27  7.69  7.10  50 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 15 30 999 99.0 99.0  3.08  8.33  7.17  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 16 00 999 99.0 99.0  3.17  7.69  7.06  58 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 16 30 999 99.0 99.0  3.17  8.33  7.12  54 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 17 00 999 99.0 99.0  3.24  9.88  7.31  46 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 17 30 999 99.0 99.0  3.37  8.33  7.22  60 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 18 00 999 99.0 99.0  3.25  9.88  7.20  48 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 04 18 30 999 99.0 99.0  3.61  8.33  7.42  54 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 04 19 00 999 99.0 99.0  3.57  8.33  7.50  51 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 04 19 30 999 99.0 99.0  3.71  8.33  7.31  55 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 04 20 00 999 99.0 99.0  3.75  9.09  7.24  48 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 04 20 30 999 99.0 99.0  3.40 12.50  7.39 354 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 21 00 999 99.0 99.0  3.23  9.09  7.26  54 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 21 30 999 99.0 99.0  3.43  9.09  7.40  51 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 04 22 00 999 99.0 99.0  3.75  9.09  7.55  51 9999.0 999.0  25.3 999.0 99.0 99.00
